,home_team_goal,away_team_goal,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-possession,home-opposition_shots,home-opposition_shots_on_target,home-opposition_possession,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-possession,away-opposition_shots,away-opposition_shots_on_target,away-opposition_possession
0,2,1,3.5,3.3,2.1,1,3,6,11,16,137,67,481,117,53,429,8,2,0,15,6,161,78,482,72,30,428
1,2,1,3.25,3.25,2.3,5,2,3,19,12,189,89,540,69,36,369,6,3,1,19,8,169,95,548,113,58,362
2,3,0,1.2,6.0,19.0,7,2,1,15,8,161,72,477,74,31,433,2,2,6,9,18,132,62,424,139,71,486
3,1,2,2.38,3.3,3.0,3,3,4,9,11,102,47,439,133,77,471,3,2,5,9,16,116,54,410,131,64,500
4,1,3,2.6,3.25,2.8,4,1,5,15,16,125,63,435,153,73,475,4,3,3,13,16,103,51,437,138,76,473
5,0,1,2.25,3.25,3.4,6,2,2,17,15,88,38,416,162,74,494,2,2,6,7,12,128,64,413,148,74,496
6,0,0,1.8,3.4,5.0,3,2,5,12,14,126,61,461,106,49,449,3,1,6,10,17,75,34,428,144,70,482
7,1,2,2.25,3.3,3.3,3,1,6,20,18,125,69,461,102,47,449,2,3,5,12,15,139,70,482,121,51,428
8,2,1,2.38,3.25,3.1,3,2,5,8,9,125,57,474,129,62,436,3,2,5,13,17,90,46,429,126,50,481
9,0,2,1.5,4.0,7.0,5,2,3,20,13,176,83,533,83,43,376,5,2,3,14,11,101,47,476,141,69,434
10,0,0,2.5,3.25,2.88,3,1,6,14,18,129,69,439,142,69,471,4,2,4,11,13,111,50,418,123,62,492
11,2,2,2.1,3.3,3.6,2,2,6,13,19,94,46,427,125,52,483,3,3,4,12,13,132,61,463,101,46,447
12,1,2,2.0,3.4,3.8,2,4,4,10,16,93,40,429,95,45,481,3,3,4,10,12,103,47,446,124,69,464
13,2,1,3.3,3.3,2.25,4,2,4,9,8,125,58,472,132,63,438,3,3,4,13,14,137,69,481,121,53,429
14,0,2,6.0,3.75,1.62,3,2,5,8,11,127,68,413,154,76,496,7,2,1,16,7,152,74,476,69,29,434
15,0,3,12.0,5.0,1.3,2,2,6,9,20,131,62,432,124,67,478,7,2,1,21,4,172,87,499,96,45,411
16,1,1,1.83,3.5,4.5,4,3,3,14,16,106,50,433,136,80,477,5,2,3,12,14,102,52,419,144,70,491
17,2,2,2.88,3.25,2.5,5,2,3,15,15,93,41,420,162,77,490,3,1,6,19,16,119,66,460,105,47,450
18,0,0,1.25,5.5,15.0,8,1,1,18,7,155,76,479,78,37,431,4,2,4,10,9,136,69,480,122,60,430
19,0,0,5.0,3.6,1.73,6,1,3,16,11,101,49,472,142,72,438,6,2,2,19,9,167,93,538,115,63,372
20,1,3,1.91,3.4,4.33,4,3,3,11,14,99,47,405,152,75,505,3,1,6,8,13,124,68,412,155,76,497
21,3,0,3.25,3.4,2.2,2,2,6,18,18,120,63,459,101,46,451,5,2,3,20,14,170,83,532,85,45,377
22,2,2,1.8,3.6,4.5,4,3,3,11,12,112,52,429,127,65,481,5,2,3,16,16,95,41,431,160,76,479
23,1,0,2.2,3.3,3.4,3,2,5,9,14,70,34,426,149,74,484,2,2,6,8,21,126,58,429,130,70,481
24,0,1,2.1,3.4,3.5,3,3,4,10,12,103,48,446,127,71,464,2,2,6,10,17,138,75,428,143,68,482
25,1,0,1.73,3.75,4.75,3,2,5,13,15,141,73,478,122,61,432,2,3,5,10,17,100,44,424,98,47,486
26,1,0,2.5,3.3,2.88,2,4,4,9,15,140,64,460,106,48,450,4,4,2,15,14,104,50,440,141,80,470
27,1,4,2.25,3.3,3.3,3,3,4,10,10,107,48,449,131,71,461,4,1,5,10,12,123,65,419,159,75,490
28,0,0,1.57,3.8,6.5,5,2,3,14,10,96,47,462,131,63,448,3,3,4,8,8,123,63,474,133,63,436
29,0,0,2.2,3.3,3.4,4,3,3,11,15,112,53,413,141,71,497,2,3,5,15,18,106,51,437,119,44,473
30,1,1,2.4,3.4,2.88,4,2,4,9,12,75,42,428,144,73,482,5,3,2,18,13,99,44,426,166,79,484
31,2,1,1.73,3.6,5.0,3,3,4,9,14,135,62,456,110,50,454,2,1,7,8,22,121,54,422,122,69,488
32,0,1,1.91,3.5,4.0,4,2,4,13,13,137,69,487,120,62,423,3,4,3,12,13,108,52,453,144,82,457
33,0,1,4.33,3.6,1.83,3,2,5,20,15,117,64,459,98,46,451,5,3,2,18,9,166,91,537,113,66,373
34,3,2,2.1,3.3,3.6,3,4,3,10,14,119,54,442,125,65,468,2,3,5,9,14,101,47,426,109,53,484
35,1,2,1.8,3.4,5.0,7,2,1,20,4,170,88,492,97,41,418,4,2,4,17,17,162,76,526,91,48,383
36,0,0,1.3,5.0,12.0,7,2,1,16,6,159,74,476,76,38,434,3,2,5,9,14,131,69,426,147,67,484
37,1,0,1.14,7.5,23.0,6,3,1,18,7,172,95,540,106,57,370,3,2,5,10,13,114,51,450,123,66,460
38,1,0,1.33,4.75,11.0,4,2,4,16,17,153,76,512,94,47,398,4,2,4,11,15,137,64,456,115,52,454
39,2,2,1.8,3.5,4.75,2,4,4,14,16,104,54,434,127,48,476,4,3,3,8,10,80,45,423,145,75,487
40,1,3,5.5,3.5,1.73,1,3,6,10,17,99,47,423,103,50,487,7,2,1,16,6,157,72,466,79,39,444
41,1,1,2.6,3.2,2.8,3,4,3,8,7,117,60,469,141,67,441,2,2,6,14,16,117,60,447,101,52,463
42,0,2,7.0,3.8,1.53,5,1,4,13,10,121,62,428,155,76,482,6,2,2,20,6,178,90,498,94,37,412
43,2,1,2.38,3.25,3.1,4,4,2,17,13,98,46,423,168,84,487,3,4,3,9,14,114,56,417,146,76,493
44,4,0,1.53,4.2,6.0,8,2,0,29,7,169,87,573,56,33,336,5,3,2,18,14,108,56,510,99,43,400
45,2,3,2.62,3.25,2.75,4,3,3,11,11,100,50,451,151,84,459,4,3,3,12,9,103,49,464,124,58,446
46,1,1,2.62,3.25,2.75,1,1,8,6,22,128,58,422,120,64,488,4,4,2,13,10,114,54,456,124,62,454
47,0,2,2.75,3.25,2.62,2,3,5,6,13,125,68,414,160,69,496,4,1,5,13,14,140,68,482,113,62,428
48,2,2,1.33,5.0,10.0,7,2,1,17,7,152,69,477,79,39,433,5,3,2,17,12,106,48,425,161,83,485
49,4,0,2.0,3.4,3.8,2,2,6,8,14,98,41,429,131,64,481,1,2,7,6,21,130,58,424,114,62,486
50,0,0,4.5,3.5,1.83,5,1,4,15,12,140,70,473,120,62,437,7,2,1,18,6,182,97,558,82,42,352
51,4,2,1.67,3.6,5.5,4,3,3,13,10,95,45,455,126,63,455,5,1,4,13,10,130,65,446,133,61,464
52,1,1,4.5,3.6,1.8,3,4,3,10,14,106,50,421,146,71,489,5,2,3,16,15,142,67,506,102,51,404
53,0,1,2.0,3.4,3.8,2,3,5,14,15,119,59,454,102,55,456,4,3,3,13,12,104,55,458,141,79,452
54,3,0,2.1,3.3,3.6,3,2,5,9,15,141,67,452,114,47,458,0,3,7,9,19,97,43,413,107,54,497
55,2,0,1.57,3.8,6.0,9,1,0,32,6,163,79,560,57,34,349,5,2,3,19,18,160,84,497,109,46,413
56,0,3,2.05,3.2,3.4,3,5,2,12,11,112,51,459,125,62,451,2,5,3,15,15,99,49,449,125,48,461
57,1,1,1.25,5.5,15.0,7,1,2,21,5,171,89,505,108,44,405,1,3,6,4,14,123,64,423,154,71,487
58,0,1,3.0,3.4,2.37,1,4,5,4,12,112,60,421,166,81,489,5,3,2,17,10,99,47,461,108,49,449
59,3,0,1.83,3.5,4.5,0,3,7,9,20,101,43,424,98,47,486,4,3,3,10,12,87,47,430,125,66,480
60,3,0,2.2,3.25,3.5,3,5,2,8,6,109,60,460,140,65,450,2,5,3,10,15,108,51,424,143,70,486
61,2,1,2.2,3.25,3.4,4,1,5,12,13,127,60,436,131,60,474,2,5,3,10,13,112,47,444,125,61,466
62,1,4,2.1,3.25,3.75,4,4,2,17,13,109,48,422,162,83,488,3,2,5,11,12,104,46,430,137,70,480
63,1,0,1.9,3.4,4.0,4,2,4,17,19,151,79,477,110,47,433,5,2,3,17,17,109,63,503,99,43,407
64,1,1,2.4,3.25,3.0,5,2,3,16,15,147,71,498,102,49,412,6,3,1,16,7,164,75,481,84,40,429
65,2,1,2.37,3.4,3.0,3,5,2,17,13,102,50,455,136,49,455,5,2,3,15,11,122,60,439,127,68,471
66,2,1,3.25,3.3,2.25,0,2,8,5,25,136,65,431,115,64,479,2,3,5,12,13,124,63,462,101,52,448
67,0,0,5.0,3.6,1.73,5,2,3,12,10,104,55,459,139,76,451,6,2,2,19,5,181,100,510,98,42,400
68,3,0,1.33,4.5,12.0,5,4,1,14,6,159,74,473,83,40,437,5,0,5,14,14,133,63,443,135,66,467
69,0,0,2.25,3.25,3.3,4,1,5,14,12,109,46,439,136,72,471,1,2,7,12,20,102,48,421,99,46,489
70,0,0,1.72,3.6,5.0,5,2,3,15,11,123,61,437,125,68,473,4,5,1,11,5,112,65,458,141,65,452
71,2,2,2.5,3.3,2.87,6,2,2,18,10,97,47,449,118,58,461,4,3,3,14,15,133,63,499,108,52,411
72,0,1,2.5,3.3,2.87,2,5,3,10,13,110,53,430,143,72,480,5,3,2,11,7,109,60,451,132,72,459
73,5,1,1.8,3.6,4.5,2,2,6,11,13,115,62,451,108,55,459,3,4,3,17,17,115,52,442,147,73,468
74,1,4,2.2,3.25,3.4,2,4,4,11,15,115,51,443,129,63,467,1,4,5,4,12,115,65,433,166,84,477
75,0,1,12.0,5.0,1.3,4,3,3,10,13,92,45,440,115,59,470,6,3,1,16,6,167,88,547,82,42,363
76,2,1,2.25,3.3,3.25,4,2,4,12,14,125,57,446,119,49,464,4,4,2,17,12,97,44,451,136,52,459
77,2,0,1.14,7.5,21.0,6,2,2,18,4,168,91,524,95,43,386,1,2,7,7,22,142,68,453,113,63,457
78,1,0,1.4,4.5,10.0,3,4,3,14,17,119,56,487,110,53,423,2,3,5,11,18,114,55,444,133,64,466
79,2,1,1.72,3.6,5.5,2,4,4,8,11,118,65,443,167,89,467,4,3,3,9,12,92,46,443,113,56,467
80,3,0,1.8,3.6,5.0,6,2,2,11,6,105,54,462,120,67,448,4,1,5,14,12,110,48,442,131,65,468
81,1,5,5.0,3.6,1.8,4,3,3,16,12,97,45,464,129,51,446,5,4,1,16,6,171,81,498,68,35,412
82,2,2,2.62,3.3,2.87,1,2,7,11,19,101,49,417,111,54,493,2,2,6,13,14,119,63,452,109,55,458
83,2,2,6.5,3.75,1.61,4,5,1,11,5,109,62,457,144,67,453,6,2,2,18,4,173,92,529,97,42,381
84,0,1,2.3,3.25,3.4,5,0,5,14,15,126,62,432,138,68,478,5,2,3,12,12,134,63,447,107,44,463
85,2,0,3.5,3.4,2.2,1,2,7,7,21,125,59,443,124,71,467,4,3,3,13,11,123,63,431,127,73,479
86,1,0,1.2,6.5,19.0,6,3,1,15,6,168,88,543,82,42,367,2,4,4,9,13,114,57,432,142,74,478
87,0,1,4.33,3.6,1.91,2,4,4,17,22,114,55,432,151,75,478,5,3,2,16,12,103,50,452,107,55,458
88,1,0,1.36,4.33,11.0,4,3,3,11,13,112,53,482,107,54,428,5,0,5,14,15,123,58,425,138,68,485
89,2,1,1.4,4.33,9.0,5,3,2,14,10,103,51,456,101,51,454,2,2,6,8,19,124,61,441,120,72,469
90,1,1,2.25,3.2,3.4,1,4,5,7,14,115,54,431,156,75,479,3,1,6,12,14,106,51,429,130,62,481
91,2,2,2.2,3.3,3.4,4,3,3,16,15,95,45,463,132,59,447,3,4,3,10,10,131,74,460,156,82,450
92,3,3,2.0,3.3,3.8,4,2,4,14,17,112,66,512,109,47,398,3,4,3,15,15,121,57,458,119,62,451
93,3,0,2.2,3.2,3.5,6,3,1,12,6,183,90,522,84,42,388,5,3,2,18,6,169,94,537,93,41,373
94,1,0,2.5,3.25,2.88,6,2,2,13,8,127,63,447,117,49,463,4,2,4,9,9,121,65,444,120,71,466
95,1,0,1.2,6.0,15.0,7,2,1,14,5,175,86,518,80,38,392,7,2,1,14,6,132,64,450,114,52,460
96,1,2,3.25,3.25,2.25,3,2,5,13,14,107,51,427,130,62,483,6,3,1,16,9,119,64,456,100,52,454
97,1,0,2.0,3.4,3.75,2,3,5,15,14,114,53,451,114,57,459,6,2,2,12,6,133,60,446,107,50,464
98,3,0,2.0,3.4,3.8,1,3,6,11,18,100,49,420,115,53,490,3,4,3,16,16,103,48,465,130,63,445
99,0,1,8.0,3.8,1.5,4,0,6,12,16,112,53,413,139,68,497,7,2,1,13,5,167,81,511,89,40,399
100,3,0,2.38,3.3,3.0,2,1,7,7,19,119,60,432,135,82,478,1,4,5,7,14,112,50,434,153,71,476
101,1,3,5.5,4.0,1.62,1,4,5,14,23,109,52,424,131,64,486,5,3,2,11,11,113,56,485,105,54,425
102,2,1,1.2,6.5,15.0,4,3,3,13,9,163,92,522,94,43,388,3,3,4,8,13,92,47,438,122,63,472
103,1,1,1.73,3.6,5.0,3,2,5,7,9,118,64,443,117,71,467,2,3,5,11,18,115,58,442,126,61,468
104,3,1,2.1,3.3,3.6,3,4,3,11,11,129,75,458,161,81,452,4,5,1,12,6,104,58,448,145,73,462
105,1,1,1.62,3.75,6.0,5,4,1,20,7,167,83,498,73,40,412,6,2,2,13,6,105,51,476,110,60,434
106,1,0,2.25,3.3,3.5,3,2,5,13,14,105,51,419,128,61,491,3,5,2,11,9,104,62,441,149,75,469
107,3,1,1.61,3.8,6.5,2,3,5,6,9,132,74,445,119,69,465,3,3,4,9,12,86,42,425,146,74,485
108,0,5,10.0,5.0,1.36,3,1,6,10,16,125,64,427,134,77,483,7,2,1,10,2,169,87,512,90,40,398
109,0,1,3.25,3.4,2.3,2,4,4,11,17,107,54,440,138,67,470,7,3,0,17,8,109,56,452,94,51,458
110,2,0,1.83,3.6,4.75,4,4,2,13,9,125,70,459,159,83,451,1,4,5,12,22,108,53,424,127,62,485
111,1,1,5.0,3.5,1.83,6,1,3,12,7,136,59,442,116,51,468,5,5,0,20,6,160,83,503,70,40,407
112,1,1,3.0,3.3,2.5,5,3,2,13,7,101,51,470,103,58,440,5,3,2,12,11,113,55,482,92,49,427
113,2,2,2.0,3.25,4.5,2,2,6,12,16,100,48,425,110,49,485,3,0,7,11,17,110,49,413,142,73,497
114,2,0,1.25,6.0,15.0,5,3,2,15,9,184,105,528,90,42,382,0,4,6,5,16,109,48,453,148,67,457
115,1,0,1.36,4.5,10.0,8,2,0,14,0,162,84,522,92,38,388,4,4,2,11,7,98,52,474,94,51,436
116,0,0,1.5,4.2,7.0,5,4,1,13,10,107,51,477,93,49,432,5,3,2,15,9,134,70,470,163,89,440
117,0,0,1.61,3.7,6.0,7,3,0,16,8,111,54,452,101,51,458,6,1,3,11,6,128,57,439,109,48,471
118,0,0,2.5,3.3,2.87,0,3,7,4,17,108,52,453,157,72,457,2,3,5,14,16,106,56,429,100,41,481
119,3,1,2.0,3.3,4.0,3,5,2,11,9,105,64,442,155,82,468,1,4,5,9,17,120,59,447,139,65,463
120,3,2,2.75,3.3,2.62,3,1,6,13,17,100,40,419,140,77,491,3,3,4,8,8,142,80,454,109,57,456
121,2,2,2.2,3.2,3.5,1,4,5,12,23,110,57,410,142,65,499,3,1,6,10,18,126,65,426,132,76,484
122,1,0,3.25,3.3,2.25,2,3,5,9,15,82,39,418,155,81,492,3,3,4,16,12,113,48,455,120,57,455
123,2,0,2.5,3.1,3.1,4,6,0,18,7,159,78,503,71,40,407,5,3,2,15,9,192,108,535,91,45,375
124,1,1,2.6,3.2,2.8,2,4,4,14,19,102,46,469,131,65,441,3,2,5,12,13,113,58,423,128,62,487
125,0,3,3.6,3.2,2.1,3,3,4,12,17,153,87,487,87,33,423,5,3,2,20,14,135,73,515,131,74,394
126,2,0,1.83,3.5,4.5,3,3,4,13,13,116,64,414,138,70,496,2,3,5,8,14,84,39,416,158,83,494
127,3,0,1.72,3.4,5.5,4,3,3,10,7,91,50,456,103,60,454,3,1,6,13,18,103,43,416,130,75,494
128,1,0,1.61,3.75,6.0,3,3,4,15,11,120,48,466,115,55,444,0,4,6,3,14,94,48,454,166,82,456
129,0,2,2.87,3.3,2.5,2,4,4,13,14,106,60,422,100,42,488,7,3,0,16,8,119,56,460,99,50,450
130,2,3,2.25,3.3,3.25,3,2,5,12,19,129,66,424,138,77,486,2,5,3,14,18,110,54,471,139,70,439
131,2,3,5.0,3.3,1.8,1,3,6,10,20,120,60,447,128,59,463,4,6,0,18,7,166,85,497,62,34,413
132,0,0,2.0,3.4,3.8,5,2,3,10,6,124,54,443,117,52,467,3,5,2,12,9,100,63,443,155,83,467
133,0,0,1.2,6.0,19.0,4,3,3,12,11,185,105,534,100,56,376,1,4,5,12,23,120,64,414,146,66,495
134,0,0,3.0,3.3,2.4,2,3,5,9,11,136,78,452,107,52,458,5,5,0,13,7,116,55,483,85,47,425
135,0,1,6.5,3.75,1.57,4,4,2,14,9,125,66,465,168,94,444,9,1,0,15,0,169,90,518,90,36,392
136,1,0,1.75,3.2,5.5,4,0,6,13,14,147,66,500,113,60,410,3,3,4,11,16,154,86,483,84,31,427
137,2,0,2.87,3.25,2.5,1,2,7,10,21,115,60,439,122,56,471,4,2,4,14,9,135,59,477,117,57,433
138,3,0,1.25,5.5,13.0,9,1,0,15,0,172,90,522,94,40,388,2,6,2,10,8,96,53,439,157,82,471
139,2,1,1.25,5.5,13.0,9,1,0,17,0,166,88,508,99,40,402,2,4,4,13,15,110,61,435,95,37,475
140,0,0,1.4,4.33,9.0,4,6,0,11,6,112,51,480,87,48,428,4,3,3,14,9,115,64,418,133,68,492
141,0,1,3.3,3.3,2.25,8,2,0,18,8,114,55,452,111,59,458,4,4,2,11,9,191,111,539,104,54,371
142,0,0,2.4,3.25,3.0,0,3,7,3,15,87,46,444,178,90,466,4,3,3,8,5,119,51,447,111,46,463
143,2,1,2.3,3.3,3.1,2,1,7,9,20,101,44,401,137,77,509,4,3,3,14,10,131,68,460,158,91,449
144,2,2,2.5,3.25,2.87,2,2,6,8,16,87,40,414,153,80,496,1,2,7,9,19,124,64,436,125,62,474
145,1,2,1.22,5.75,13.0,9,1,0,30,9,142,75,609,41,23,300,1,5,4,11,15,94,49,404,158,74,506
146,1,0,2.0,3.3,3.75,5,2,3,13,10,152,65,512,111,57,398,3,6,1,18,14,107,57,474,123,66,436
147,1,1,1.57,3.75,7.0,5,5,0,21,9,155,81,502,63,33,408,3,2,5,11,11,136,63,477,120,58,433
148,0,0,2.87,3.25,2.5,3,4,3,15,18,105,54,472,136,70,438,5,3,2,13,6,101,53,468,98,58,442
149,2,0,1.8,3.5,4.75,2,5,3,10,11,97,49,430,155,82,480,3,2,5,13,20,121,61,419,133,76,491
150,1,1,2.4,3.25,2.9,4,0,6,13,20,80,44,433,142,77,477,4,3,3,17,18,115,63,501,125,58,408
151,1,2,3.0,3.3,2.37,1,4,5,10,21,117,60,410,156,74,499,2,4,4,9,10,137,79,463,104,48,447
152,0,0,1.4,4.33,9.0,3,7,0,10,6,117,56,490,76,43,418,3,4,3,12,11,114,57,434,148,83,476
153,2,0,1.5,4.0,7.5,4,4,2,12,6,111,55,470,87,53,440,3,1,6,12,21,118,61,416,150,84,494
154,2,0,5.5,3.5,1.72,0,4,6,2,13,86,43,445,177,92,465,5,5,0,22,10,149,77,502,64,34,408
155,2,1,1.28,5.0,13.0,4,4,2,10,9,201,116,541,99,52,369,4,4,2,8,4,121,52,445,106,46,465
156,1,2,2.75,3.25,2.6,4,1,5,13,17,113,61,442,114,52,467,5,2,3,10,7,152,64,523,102,53,387
157,0,2,4.5,3.5,1.8,1,5,4,12,16,87,47,395,162,73,515,8,0,2,19,7,132,71,471,120,64,439
158,1,0,2.5,3.25,2.87,4,3,3,15,10,134,72,454,155,88,455,3,3,4,12,11,135,66,478,127,57,432
159,1,0,2.0,3.3,4.0,3,1,6,11,19,92,42,409,146,82,501,3,4,3,15,18,99,49,469,137,70,441
160,1,2,2.87,3.25,2.5,1,3,6,10,22,123,58,416,151,72,493,2,4,4,12,14,116,65,432,104,40,478
161,3,3,1.8,3.25,5.0,8,2,0,20,7,137,56,503,93,39,407,6,2,2,14,8,140,73,497,114,44,413
162,4,3,3.75,3.6,1.9,3,5,2,14,11,113,61,478,116,59,432,8,1,1,27,11,144,76,614,40,22,295
163,2,2,2.5,3.25,2.8,1,2,7,11,20,131,61,426,130,68,483,1,6,3,16,18,120,61,453,115,58,457
164,1,3,6.5,3.75,1.57,3,1,6,12,19,122,58,410,146,83,500,3,7,0,9,5,116,52,490,82,44,418
165,0,1,6.5,3.75,1.57,1,2,7,10,20,125,65,437,116,57,473,5,3,2,11,9,193,112,536,108,57,374
166,2,0,1.4,4.33,9.5,4,5,1,19,11,163,81,492,63,35,418,4,4,2,14,8,117,65,426,126,66,484
167,4,0,1.83,3.5,4.5,2,4,4,9,11,134,76,466,103,46,444,1,3,6,3,12,83,43,444,179,91,466
168,2,0,2.5,3.25,2.9,1,3,6,9,18,81,33,410,150,80,500,4,1,5,10,15,91,46,414,156,90,496
169,0,1,2.2,3.3,3.4,3,4,3,6,6,126,57,445,111,54,465,5,2,3,15,9,143,81,462,143,77,447
170,1,2,7.5,4.0,1.5,3,3,4,13,17,113,57,463,134,71,447,10,0,0,19,1,165,83,503,103,41,407
171,2,0,2.5,3.3,2.87,3,2,5,11,11,132,64,473,128,60,437,7,2,1,15,7,125,58,450,119,61,460
172,0,0,2.5,3.25,2.9,3,4,3,13,12,119,68,445,105,39,465,5,4,1,12,3,111,54,468,105,60,442
173,0,1,1.66,3.6,5.75,3,4,3,11,10,117,54,438,152,82,472,0,3,7,9,23,115,56,417,152,71,492
174,1,1,2.87,3.3,2.5,3,4,3,10,10,109,60,421,130,64,489,3,3,4,13,11,134,75,483,102,40,427
175,1,0,1.8,3.4,4.75,1,6,3,18,20,117,60,452,133,64,458,1,4,5,11,17,87,47,396,158,68,514
176,1,1,1.72,3.6,4.75,9,0,1,18,3,119,60,471,116,61,439,4,4,2,18,14,115,64,469,110,53,441
177,2,0,1.28,5.5,9.5,7,1,2,28,15,140,70,601,51,28,308,4,1,5,14,18,99,50,425,116,52,484
178,1,2,2.25,3.2,3.4,2,4,4,8,11,119,54,435,152,78,475,3,5,2,13,9,119,68,443,107,43,467
179,1,4,1.91,3.3,4.5,10,0,0,20,2,160,82,503,105,42,407,5,4,1,19,9,160,80,488,60,34,422
180,4,0,1.44,4.33,8.0,4,6,0,11,5,124,53,496,81,43,412,3,5,2,12,10,127,69,453,106,47,457
181,1,2,2.2,3.2,3.5,2,5,3,7,10,106,59,418,129,64,492,2,4,4,4,6,130,56,457,112,53,453
182,3,1,1.5,4.0,7.5,4,5,1,11,3,109,56,469,107,58,441,2,2,6,10,17,75,28,407,161,84,503
183,1,1,2.2,3.2,3.5,1,3,6,3,13,85,41,444,173,85,466,1,2,7,10,18,118,64,444,129,65,466
184,1,3,2.1,3.25,3.75,3,1,6,8,16,91,47,405,154,86,505,2,3,5,9,13,119,55,427,151,76,483
185,1,1,2.62,3.25,2.75,1,2,7,8,21,118,55,427,146,69,482,2,3,5,11,19,115,60,451,127,71,459
186,2,5,3.75,3.4,2.0,4,1,5,14,16,93,45,413,129,60,496,9,1,0,19,2,130,65,493,118,56,417
187,1,2,2.0,3.3,4.0,6,2,2,11,7,121,59,443,122,66,467,3,4,3,13,10,136,77,484,106,41,426
188,1,0,1.4,4.5,9.0,6,2,2,12,9,201,115,524,109,54,386,4,2,4,13,10,135,64,474,125,62,436
189,2,0,1.73,3.4,5.5,7,3,0,22,9,131,53,487,110,52,423,5,0,5,13,11,162,71,486,105,56,424
190,3,2,2.05,3.4,3.6,4,4,2,18,14,123,65,453,112,53,457,2,5,3,15,16,106,50,440,141,67,470
191,0,0,1.67,3.6,5.75,6,2,2,16,8,131,71,446,150,79,463,2,1,7,11,21,121,59,399,146,78,511
192,1,0,4.5,3.5,1.83,4,3,3,15,11,129,77,486,106,39,424,6,2,2,11,9,195,106,515,106,52,395
193,1,3,5.0,3.6,1.72,1,4,5,10,19,120,61,452,124,66,458,5,5,0,13,3,133,59,501,76,40,407
194,1,1,1.9,3.4,4.33,3,4,3,12,14,124,70,449,106,47,461,5,3,2,12,7,128,69,449,137,67,460
195,2,0,8.0,4.2,1.44,3,2,5,10,12,126,58,439,138,64,471,9,0,1,20,6,146,78,510,102,43,400
196,1,1,2.4,3.3,3.0,2,2,6,11,19,119,57,409,133,68,501,3,1,6,9,16,98,51,418,145,81,492
197,2,1,2.75,3.2,2.62,1,3,6,10,17,116,60,452,130,65,458,5,4,1,14,4,113,56,486,104,53,424
198,1,0,2.25,3.3,3.3,2,1,7,9,18,73,26,408,168,89,502,1,4,5,4,13,97,44,445,172,84,465
199,1,4,2.87,3.0,2.6,6,4,0,18,7,125,64,482,111,45,428,7,2,1,15,6,122,61,440,102,59,470
200,2,0,1.72,3.6,4.75,2,4,4,15,17,98,46,437,155,71,473,4,1,5,16,20,94,44,414,136,63,495
201,5,0,1.44,4.2,8.0,6,3,1,22,9,153,76,485,71,39,425,5,2,3,11,9,121,58,448,114,63,462
202,1,0,1.66,3.6,5.5,4,2,4,12,9,129,58,471,130,62,439,2,4,4,8,12,99,55,420,127,64,490
203,1,0,1.72,3.6,5.0,2,4,4,5,7,128,53,452,104,49,458,1,3,6,8,18,112,48,428,144,68,481
204,0,0,3.4,3.1,2.25,2,2,6,8,12,82,37,433,131,64,475,6,2,2,23,11,116,56,527,139,74,383
205,2,0,1.53,3.75,7.5,5,5,0,15,4,135,63,497,79,40,411,4,2,4,8,8,129,59,476,126,60,434
206,2,0,2.1,3.2,3.75,4,4,2,11,7,114,58,431,147,75,478,2,4,4,8,10,97,53,421,136,71,489
207,0,2,5.0,3.6,1.72,1,4,5,10,20,123,62,448,124,67,462,6,1,3,9,8,191,100,508,112,57,402
208,2,1,2.62,3.25,2.75,3,4,3,11,13,130,75,458,100,47,452,5,3,2,16,9,133,78,482,112,43,428
209,0,1,6.0,3.75,1.61,4,2,4,11,9,137,64,449,145,71,461,6,3,1,24,9,143,71,477,75,42,433
210,4,1,2.1,3.3,3.6,3,2,5,10,16,96,51,420,147,77,490,1,4,5,4,13,106,48,446,150,74,464
211,0,2,2.2,3.25,3.4,1,3,6,10,20,118,52,411,141,72,499,3,1,6,10,15,68,24,405,177,89,505
212,0,0,2.62,3.25,2.75,1,3,6,7,14,112,45,426,141,65,483,2,3,5,11,14,110,54,447,124,62,463
213,0,1,4.75,3.6,1.72,1,4,5,14,26,88,40,380,144,68,529,9,1,0,25,4,129,63,496,111,47,414
214,3,2,1.4,4.33,9.0,8,0,2,17,8,154,85,499,112,48,411,5,1,4,9,12,116,55,440,118,64,470
215,4,0,1.72,3.4,5.5,4,4,2,14,6,110,55,488,112,57,422,2,4,4,5,7,131,54,457,109,48,453
216,0,1,4.75,3.25,1.83,2,3,5,12,19,131,70,443,112,51,467,7,3,0,20,7,129,53,489,108,54,420
217,4,0,1.33,4.75,11.0,6,3,1,20,8,145,69,475,71,38,435,3,4,3,10,14,132,77,456,100,48,454
218,1,2,7.5,4.0,1.5,2,3,5,7,11,99,57,423,139,74,486,8,0,2,19,10,156,85,501,104,47,409
219,1,0,1.73,3.5,5.5,5,3,2,17,10,136,78,486,109,43,424,5,3,2,11,5,115,56,432,142,76,476
220,3,1,2.1,3.3,3.75,1,3,6,4,16,114,48,448,151,77,462,1,4,5,7,13,114,43,441,141,63,468
221,2,2,1.73,3.5,5.5,2,4,4,11,13,112,51,445,120,57,465,1,3,6,9,20,127,58,424,126,63,486
